Timestamp,Energy_kWh,Hour,Day,Month,Weekday,Holiday,Temperature_C,Humidity_%,Pressure_hPa,Wind_mps,Occupants,CO2_ppm,VOC_ppb,AC_Status,Door_Status,Window_Status
01-01-2024 00:00,3.842,0,1,1,5,1,19.96,49.56,1018.67,6.5,0,409.36,101.46,0,0,0
01-01-2024 00:15,4.211,0,1,1,5,1,22.41,57.52,1013.96,5.1,0,383.54,103.76,0,1,0
01-01-2024 00:30,3.938,0,1,1,5,1,21.25,41.95,1014.78,5.26,0,428.4,92.46,0,0,0
01-01-2024 00:45,3.911,0,1,1,5,1,18.39,50.97,1018.22,6.48,0,376.2,98.46,0,0,0
01-01-2024 01:00,4.041,1,1,1,5,1,23.57,50.41,1018.83,4.98,0,410.76,96.28,0,1,0
01-01-2024 01:15,3.808,1,1,1,5,1,16.93,57.29,1017.43,5.16,0,416.52,95.44,0,0,0
01-01-2024 01:30,4.163,1,1,1,5,1,20.55,45.76,1017.07,6.69,0,431.35,103.12,0,0,0
01-01-2024 01:45,3.767,1,1,1,5,1,18.35,56.82,1014.91,4.8,0,426.2,97.55,0,0,0
01-01-2024 02:00,4.416,2,1,1,5,1,17.03,69.69,1013.22,5.49,0,415.17,92.2,0,0,0
01-01-2024 02:15,3.7,2,1,1,5,1,17.73,57.27,1014.56,5.28,0,398.88,93.14,0,0,0
01-01-2024 02:30,3.735,2,1,1,5,1,19.9,52.46,1016.16,5.22,0,397.93,95.21,0,0,0
01-01-2024 02:45,3.798,2,1,1,5,1,20.7,63.3,1015.11,5.08,0,401.52,97.99,0,1,0
01-01-2024 03:00,4.456,3,1,1,5,1,22.12,62.56,1011.38,4.99,0,415.86,107.25,0,0,0
01-01-2024 03:15,4.557,3,1,1,5,1,22.95,68.86,1015.6,6.76,0,387.52,97.74,0,0,0
01-01-2024 03:30,4.109,3,1,1,5,1,20.56,69.64,1017.65,5.86,0,390.88,101.56,0,1,0
01-01-2024 03:45,4.481,3,1,1,5,1,19.11,69.3,1020.39,5.94,0,415.48,94.3,0,1,0
01-01-2024 04:00,4.036,4,1,1,5,1,22.08,67.19,1013.7,6.51,0,403.39,105.15,0,1,0
01-01-2024 04:15,4.496,4,1,1,5,1,18.77,76.44,1016.16,6.41,0,359.25,99.3,0,1,0
01-01-2024 04:30,4.236,4,1,1,5,1,16.81,71.29,1014.11,7.45,0,390.37,101.79,0,0,0
01-01-2024 04:45,4.154,4,1,1,5,1,21.88,63.7,1016.32,7.15,0,381.43,95.87,0,0,0
01-01-2024 05:00,4.075,5,1,1,5,1,22.65,66.07,1012.75,7.98,0,373.99,103.63,0,0,1
01-01-2024 05:15,4.711,5,1,1,5,1,18.36,75.84,1012.76,8.27,0,460.27,100.36,0,0,0
01-01-2024 05:30,4.325,5,1,1,5,1,23.92,72.66,1015.02,7.35,0,353.41,102.38,0,1,0
01-01-2024 05:45,4.303,5,1,1,5,1,21.17,65.71,1016.68,5.17,0,418.59,105.25,0,0,0
01-01-2024 06:00,4.48,6,1,1,5,1,20.87,68.21,1013.16,6.68,0,398.77,101.26,0,1,0
01-01-2024 06:15,4.242,6,1,1,5,1,18.97,69.68,1011.61,6.31,0,393.84,102.07,0,0,0
01-01-2024 06:30,4.52,6,1,1,5,1,22.03,74.1,1018.05,6.72,0,399.83,96.54,0,0,0
01-01-2024 06:45,3.827,6,1,1,5,1,16.95,68.88,1014.89,6.2,0,394.56,96.31,0,1,0
01-01-2024 07:00,4.183,7,1,1,5,1,19.32,75.89,1013.61,9.6,0,420.67,97.47,0,0,0
01-01-2024 07:15,4.702,7,1,1,5,1,18.53,71.13,1015.28,4.76,0,376.52,101.55,0,0,0
01-01-2024 07:30,5.041,7,1,1,5,1,17.38,76.13,1013.17,7.26,0,411.55,97.96,0,0,0
01-01-2024 07:45,4.494,7,1,1,5,1,21.73,63.59,1012.37,6.96,0,374.79,98.99,0,0,0
01-01-2024 08:00,4.312,8,1,1,5,1,20.68,74.82,1017.92,7.77,0,385.74,101.45,0,0,0
01-01-2024 08:15,4.443,8,1,1,5,1,21.61,73.17,1015.05,7.47,0,432.56,106.91,0,0,0
01-01-2024 08:30,4.17,8,1,1,5,1,19.44,67.7,1015.74,6.9,0,424.69,100.68,0,1,0
01-01-2024 08:45,4.22,8,1,1,5,1,21.97,64.7,1014.23,7.67,0,439.14,99.14,0,0,0
01-01-2024 09:00,4.155,9,1,1,5,1,20.15,70.65,1017.7,5.5,0,404.35,99.66,0,1,0
01-01-2024 09:15,4.321,9,1,1,5,1,19.06,61.85,1015.13,6.33,0,405.03,104.51,0,0,0
01-01-2024 09:30,4.079,9,1,1,5,1,18.72,64.12,1018.05,5.81,0,424.24,104.99,0,1,0
01-01-2024 09:45,4.331,9,1,1,5,1,16.03,66.67,1014.24,6.7,0,402.39,105.89,0,0,0
01-01-2024 10:00,4.42,10,1,1,5,1,22.33,54.32,1013.8,6.65,0,409.04,98.26,0,0,0
01-01-2024 10:15,4.463,10,1,1,5,1,22.1,59.09,1013.47,5.29,0,404.48,93.3,0,0,0
01-01-2024 10:30,3.849,10,1,1,5,1,25.85,55.39,1016.64,8.71,0,371.31,94.72,0,0,1
01-01-2024 10:45,3.867,10,1,1,5,1,19.33,52.22,1017.46,7.86,0,400.16,98.07,0,0,0
01-01-2024 11:00,4.276,11,1,1,5,1,18.67,65.6,1014.43,6.66,0,382.82,97.8,0,0,0
01-01-2024 11:15,3.839,11,1,1,5,1,16.6,51.9,1015.86,6.07,0,412.02,101.74,0,0,0
01-01-2024 11:30,3.847,11,1,1,5,1,21.92,58.3,1014.91,5.53,0,416.78,97.9,0,0,0
01-01-2024 11:45,4.417,11,1,1,5,1,21.46,65.65,1017.92,5.19,0,421.53,92.29,0,0,0
01-01-2024 12:00,4.168,12,1,1,5,1,23.1,46.83,1014.72,5.34,0,397.5,102.25,0,0,0
01-01-2024 12:15,3.67,12,1,1,5,1,18.17,43.7,1016.08,5.97,0,402.62,107.22,0,0,0
01-01-2024 12:30,4.05,12,1,1,5,1,21.43,58.81,1017.86,7.71,0,373.15,98.07,0,0,0
01-01-2024 12:45,3.552,12,1,1,5,1,18.96,45.34,1015.26,7.24,0,354.43,97.02,0,1,0
01-01-2024 13:00,3.95,13,1,1,5,1,22.69,42.77,1014.31,4.58,0,405.66,97.55,0,0,0
01-01-2024 13:15,4.005,13,1,1,5,1,21.07,41.97,1014.99,3.63,0,353.26,95.86,0,0,0
01-01-2024 13:30,3.199,13,1,1,5,1,16.89,45.6,1015.42,4,0,375.24,111.34,0,0,0
01-01-2024 13:45,3.667,13,1,1,5,1,19.74,35.72,1016.35,4.84,0,368.62,96.26,0,0,0
01-01-2024 14:00,3.463,14,1,1,5,1,16.1,43.11,1015.73,3.9,0,399.67,101.62,0,0,0
01-01-2024 14:15,3.761,14,1,1,5,1,17.67,42.33,1017.39,4.7,0,395.49,98.19,0,0,0
01-01-2024 14:30,3.287,14,1,1,5,1,17.79,44.33,1014.92,4.03,0,423.49,105.66,0,0,0
01-01-2024 14:45,3.933,14,1,1,5,1,18.72,44.22,1012.81,2.81,0,409.69,109.96,0,0,0
01-01-2024 15:00,3.674,15,1,1,5,1,19.47,38.13,1014.72,2.83,0,412.55,88.59,0,0,0
01-01-2024 15:15,3.595,15,1,1,5,1,20.33,34.33,1017.43,4.39,0,438.02,98.96,0,1,0
01-01-2024 15:30,3.72,15,1,1,5,1,20.23,36.15,1018.05,4.83,0,415.4,101.3,0,0,0
01-01-2024 15:45,3.589,15,1,1,5,1,19.95,32.6,1017.41,3.89,0,416.17,94.6,0,0,0
01-01-2024 16:00,3.681,16,1,1,5,1,20.66,33.65,1019.48,3.6,0,417.15,101.73,0,0,0
01-01-2024 16:15,3.453,16,1,1,5,1,17.5,28.73,1014.06,5.03,0,432.19,103.58,0,0,0
01-01-2024 16:30,4.223,16,1,1,5,1,20.15,33.36,1018.39,4.26,0,387.43,98.83,0,0,0
01-01-2024 16:45,3.089,16,1,1,5,1,22.87,30.48,1017.42,4.34,0,404.95,100.73,0,0,1
01-01-2024 17:00,3.52,17,1,1,5,1,19.67,26.59,1015.42,2.14,0,394.51,102.66,0,0,0
01-01-2024 17:15,4.108,17,1,1,5,1,20.99,35.93,1010.96,1.1,0,444.66,96.49,0,1,0
01-01-2024 17:30,3.976,17,1,1,5,1,20.8,34.65,1014.96,4.11,0,407.34,99.76,0,0,0
01-01-2024 17:45,3.795,17,1,1,5,1,21.72,30.97,1015.41,2.61,0,401.3,105.93,0,0,0
01-01-2024 18:00,3.549,18,1,1,5,1,20.57,21.29,1012.99,5.41,0,389.74,97.21,0,0,0
01-01-2024 18:15,3.425,18,1,1,5,1,21.69,25.61,1015.28,3.86,0,394.11,104.32,0,0,0
01-01-2024 18:30,3.661,18,1,1,5,1,21.01,29.62,1015.33,3.73,0,426.6,96.89,0,0,0
01-01-2024 18:45,3.619,18,1,1,5,1,21.31,32.36,1016.08,2.78,0,376.45,99.23,0,0,0
01-01-2024 19:00,3.483,19,1,1,5,1,20.88,33.13,1013.55,3.7,0,417.12,100.07,0,0,0
01-01-2024 19:15,3.629,19,1,1,5,1,17.99,31.84,1015.04,2.42,0,397.35,97.58,0,1,0
01-01-2024 19:30,3.367,19,1,1,5,1,17.66,30.83,1013.61,3.14,0,403.52,98.77,0,0,0
01-01-2024 19:45,3.685,19,1,1,5,1,19.29,29.6,1015.43,3.66,0,401.66,102.4,0,0,0
01-01-2024 20:00,3.473,20,1,1,5,1,23.1,29.54,1012.89,3.36,0,413.68,91.11,0,1,1
01-01-2024 20:15,3.864,20,1,1,5,1,19.66,40.96,1014.73,3.26,0,400.87,97.85,0,1,0
01-01-2024 20:30,3.8,20,1,1,5,1,20.62,37.84,1016.05,3.56,0,413.34,104.79,0,0,0
01-01-2024 20:45,3.304,20,1,1,5,1,16.07,35.59,1014.4,4.33,0,392.83,106.97,0,0,0
01-01-2024 21:00,3.64,21,1,1,5,1,20.39,30.19,1015.19,2.15,0,389.63,103.34,0,0,0
01-01-2024 21:15,3.663,21,1,1,5,1,20.17,29.94,1015.54,4.31,0,431.1,95.6,0,0,0
01-01-2024 21:30,3.198,21,1,1,5,1,14.65,35.7,1017.21,4,0,395.97,103.37,0,0,0
01-01-2024 21:45,3.343,21,1,1,5,1,20.58,33.29,1015.56,3.6,0,392.9,95.34,0,0,0
01-01-2024 22:00,3.633,22,1,1,5,1,16.7,34.3,1014.91,3.77,0,442.07,102.92,0,0,0
01-01-2024 22:15,3.757,22,1,1,5,1,18.55,40.52,1016.1,2.86,0,424.04,94.18,0,0,0
01-01-2024 22:30,3.622,22,1,1,5,1,21.99,30.58,1016.51,3.49,0,413.61,92.72,0,0,0
01-01-2024 22:45,3.389,22,1,1,5,1,20.31,39.54,1013.76,3.18,0,425.15,102.3,0,0,0
01-01-2024 23:00,4.103,23,1,1,5,1,19.1,47.37,1013.86,4.31,0,414.27,95.55,0,0,0
01-01-2024 23:15,3.872,23,1,1,5,1,18.93,47.21,1015.69,5.67,0,401.32,97.23,0,1,0
01-01-2024 23:30,3.575,23,1,1,5,1,19.16,35.8,1017.58,4,0,431.63,102.82,0,0,0
01-01-2024 23:45,3.374,23,1,1,5,1,20.32,35.56,1014.99,3.85,0,392.64,102.98,0,0,0
02-01-2024 00:00,3.971,0,2,1,6,1,17.6,48.94,1017.06,3.49,0,393.96,101.73,0,0,0
02-01-2024 00:15,3.844,0,2,1,6,1,22.25,46.84,1017.45,4.06,0,397.53,104.31,0,0,0
